"Position","Model Name","Availability Date","Market Segment","Number of Seats","Range","Efficiency","Weight","Acceleration 0-100","1-Stop Range","Battery Capacity","Fastcharge Speed","Towing Capacity","Cargo Volume","Price per Range","Price in Germany","Price in Netherlands","Price in UK","Vehicle URL","Image URL"
312,"Volkswagen ID.3 Pro Performance","Discontinued (July 2021 - March 2023)","C",5,"350 km","166 Wh/km","1.812 kg","7,3 sec","375 km","58,0 kWh","82 kW","0 kg","385 L","€129 /km","€43,995","€45,990","£39,425","https://ev-database.org/car/1532/Volkswagen-ID3-Pro-Performance","https://ev-database.org/img/auto/Volkswagen_ID3/Volkswagen_ID3-01-thumb.jpg"
313,"BMW i3s 120 Ah","Discontinued (October 2018 - July 2022)","B",4,"230 km","165 Wh/km","1.365 kg","6,9 sec","214 km","37,9 kWh","47 kW","0 kg","260 L","€183 /km","€42,600","€43,634","£34,805","https://ev-database.org/car/1149/BMW-i3s-120-Ah","https://ev-database.org/img/auto/BMW_i3_2019/BMW_i3_2019-01-thumb.jpg"
314,"Kia EV9 99.8 kWh AWD GT-Line","Available to order since June 2023","F",7,"425 km","226 Wh/km","2.664 kg","5,3 sec","471 km","96,0 kWh","194 kW","2.500 kg","385 L","€192 /km","€82,380","€78,795","£73,245","https://ev-database.org/car/1993/Kia-EV9-998-kWh-AWD-GT-Line","https://ev-database.org/img/auto/Kia_EV9_GTLine_2023/Kia_EV9_GTLine_2023-01-thumb.jpg"
315,"Peugeot e-208","Discontinued (February 2020 - December 2021)","B",5,"270 km","171 Wh/km","1.530 kg","8,1 sec","294 km","46,3 kWh","78 kW","0 kg","265 L","€119 /km","€30,450","€34,900","£27,225","https://ev-database.org/car/1168/Peugeot-e-208","https://ev-database.org/img/auto/Peugeot_e-208_GT/Peugeot_e-208_GT-01-thumb.jpg"
316,"Peugeot e-308","Available to order since April 2023","C",5,"300 km","169 Wh/km","1.759 kg","9,8 sec","324 km","50,8 kWh","80 kW","0 kg","412 L","€150 /km","€44,765","€42,070","£42,025","https://ev-database.org/car/1744/Peugeot-e-308","https://ev-database.org/img/auto/Peugeot_e-308/Peugeot_e-308-01-thumb.jpg"
317,"Polestar 3 Long Range Dual motor","Available to order since November 2022","E",5,"485 km","221 Wh/km","2.660 kg","5,0 sec","526 km","107,0 kWh","150 kW","2.200 kg","516 L","€179 /km","€85,590","€86,950","£75,900","https://ev-database.org/car/1758/Polestar-3-Long-Range-Dual-motor","https://ev-database.org/img/auto/Polestar_3/Polestar_3-01-thumb.jpg"
318,"Tesla Model S P90D","Discontinued (July 2015 - April 2016)","F",5,"415 km","206 Wh/km","2.262 kg","3,3 sec","408 km","85,5 kWh","90 kW","unknown","895 L","€292 /km","€120,300","€122,400","N/A","https://ev-database.org/car/1037/Tesla-Model-S-P90D","https://ev-database.org/img/auto/Tesla_Model_S/Tesla_Model_S-01-thumb.jpg"
319,"Volkswagen ID.4 GTX","Available to order since October 2023","C",5,"420 km","183 Wh/km","2.256 kg","5,4 sec","460 km","77,0 kWh","120 kW","1.200 kg","543 L","€137 /km","€53,255","€57,490","£53,865","https://ev-database.org/car/2030/Volkswagen-ID4-GTX","https://ev-database.org/img/auto/Volkswagen_ID4_GTX_2024/Volkswagen_ID4_GTX_2024-01-thumb.jpg"
320,"BYD SEAL 61.4 kWh RWD Comfort","Available to order since January 2025","D",5,"370 km","166 Wh/km","1.982 kg","7,5 sec","387 km","61,4 kWh","75 kW","750 kg","453 L","€113 /km","N/A","€41,690","N/A","https://ev-database.org/car/3102/BYD-SEAL-614-kWh-RWD-Comfort","https://ev-database.org/img/auto/BYD_SEAL/BYD_SEAL-01-thumb.jpg"
321,"XPENG P7 Wing Edition","Available to order since February 2023","E",5,"455 km","182 Wh/km","2.255 kg","4,1 sec","514 km","82,7 kWh","138 kW","0 kg","440 L","€155 /km","€69,600","€71,188","N/A","https://ev-database.org/car/1823/XPENG-P7-Wing-Edition","https://ev-database.org/img/auto/XPENG_P7/XPENG_P7-01-thumb.jpg"
322,"Nissan e-NV200 Evalia","Discontinued (April 2018 - December 2021)","N",7,"170 km","218 Wh/km","1.667 kg","14,0 sec","157 km","37,0 kWh","40 kW","0 kg","2.000 L","€248 /km","€43,730","€45,173","£32,755","https://ev-database.org/car/1117/Nissan-e-NV200-Evalia","https://ev-database.org/img/auto/Nissan_e-NV200_Evalia_2018/Nissan_e-NV200_Evalia_2018-01-thumb.jpg"
323,"Volkswagen ID.3 Pro","Discontinued (November 2020 - August 2021)","C",5,"350 km","166 Wh/km","1.805 kg","9,6 sec","378 km","58,0 kWh","82 kW","0 kg","385 L","€100 /km","€34,995","€36,890","£28,420","https://ev-database.org/car/1202/Volkswagen-ID3-Pro","https://ev-database.org/img/auto/Volkswagen_ID3/Volkswagen_ID3-01-thumb.jpg"
324,"Audi A6 Sportback e-tron","Available to order since October 2024","E",5,"485 km","156 Wh/km","2.175 kg","6,0 sec","587 km","75,8 kWh","150 kW","2.100 kg","529 L","€131 /km","€62,800","€63,990","N/A","https://ev-database.org/car/3053/Audi-A6-Sportback-e-tron","https://ev-database.org/img/auto/Audi_A6_Sportback_etron_2024/Audi_A6_Sportback_etron_2024-01-thumb.jpg"
325,"Volvo EC40 Single Motor ER","Available to order since February 2024","C",5,"420 km","188 Wh/km","2.095 kg","7,3 sec","459 km","79,0 kWh","125 kW","1.500 kg","435 L","€137 /km","€57,190","€53,495","£54,305","https://ev-database.org/car/2124/Volvo-EC40-Single-Motor-ER","https://ev-database.org/img/auto/Volvo_EC40_2025/Volvo_EC40_2025-01-thumb.jpg"
326,"Alfa Romeo Junior Elettrica 54 kWh","Available to order since April 2024","B",5,"320 km","159 Wh/km","1.620 kg","9,0 sec","341 km","50,8 kWh","85 kW","0 kg","400 L","€122 /km","€39,500","€39,000","£33,895","https://ev-database.org/car/2184/Alfa-Romeo-Junior-Elettrica-54-kWh","https://ev-database.org/img/auto/Alfa_Romeo_Junior/Alfa_Romeo_Junior-01-thumb.jpg"
327,"Polestar 2 Long Range Dual Motor","Discontinued (January 2023 - September 2024)","D",5,"450 km","176 Wh/km","2.183 kg","4,5 sec","507 km","79,0 kWh","125 kW","1.500 kg","446 L","€125 /km","€52,275","€55,200","£52,950","https://ev-database.org/car/1819/Polestar-2-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg"
328,"CUPRA Born 170 kW - 59 kWh","Available to order since June 2024","C",5,"360 km","164 Wh/km","1.841 kg","6,7 sec","416 km","59,0 kWh","110 kW","0 kg","385 L","€109 /km","€41,450","€34,990","£35,495","https://ev-database.org/car/2233/CUPRA-Born-170-kW---59-kWh","https://ev-database.org/img/auto/Cupra_el-Born/Cupra_el-Born-01-thumb.jpg"
329,"Jaguar I-Pace EV400","Discontinued (March 2018 - July 2020)","D",5,"380 km","223 Wh/km","2.208 kg","4,8 sec","360 km","84,7 kWh","85 kW","750 kg","505 L","€205 /km","€77,300","€81,800","£64,495","https://ev-database.org/car/1097/Jaguar-I-Pace-EV400","https://ev-database.org/img/auto/Jaguar_I-Pace/Jaguar_I-Pace-01-thumb.jpg"
330,"Tesla Model X Long Range","Discontinued (June 2019 - October 2020)","F",7,"440 km","216 Wh/km","2.505 kg","4,6 sec","463 km","95,0 kWh","110 kW","2.250 kg","unknown","€206 /km","€85,990","€90,005","£82,980","https://ev-database.org/car/1198/Tesla-Model-X-Long-Range","https://ev-database.org/img/auto/Tesla_Model_X/Tesla_Model_X-01-thumb.jpg"
331,"BMW i3 60 Ah","Discontinued (September 2013 - February 2017)","B",4,"115 km","163 Wh/km","1.270 kg","7,2 sec","133 km","18,8 kWh","41 kW","unknown","260 L","€297 /km","€34,950","€35,500","£27,850","https://ev-database.org/car/1004/BMW-i3-60-Ah","https://ev-database.org/img/auto/BMW_i3/BMW_i3-01-thumb.jpg"
332,"Nissan Leaf 24 kWh","Discontinued (June 2013 - February 2018)","C",5,"135 km","163 Wh/km","1.505 kg","11,5 sec","144 km","22,0 kWh","36 kW","unknown","370 L","€213 /km","€29,690","€31,590","£21,680","https://ev-database.org/car/1019/Nissan-Leaf-24-kWh","https://ev-database.org/img/auto/Nissan_Leaf/Nissan_Leaf-01-thumb.jpg"
333,"Opel Ampera-e","Discontinued (September 2017 - January 2021)","B",5,"335 km","173 Wh/km","1.691 kg","7,3 sec","286 km","58,0 kWh","39 kW","0 kg","381 L","€115 /km","€42,990","€34,149","N/A","https://ev-database.org/car/1051/Opel-Ampera-e","https://ev-database.org/img/auto/Opel_Ampera-e/Opel_Ampera-e-01-thumb.jpg"
334,"Seres 3","Discontinued (October 2021 - March 2024)","C",5,"260 km","196 Wh/km","1.765 kg","8,9 sec","232 km","51,0 kWh","50 kW","0 kg","318 L","€146 /km","N/A","€37,995","N/A","https://ev-database.org/car/1804/Seres-3","https://ev-database.org/img/auto/Seres_3/Seres_3-01-thumb.jpg"
335,"BMW i5 eDrive40 Touring","Available to order since February 2024","E",5,"455 km","178 Wh/km","2.255 kg","6,1 sec","522 km","81,2 kWh","136 kW","1.500 kg","570 L","€171 /km","€72,200","€80,665","£69,945","https://ev-database.org/car/2114/BMW-i5-eDrive40-Touring","https://ev-database.org/img/auto/BMW_i5_eDrive40_Touring/BMW_i5_eDrive40_Touring-01-thumb.jpg"
336,"Tesla Model X P100D","Discontinued (January 2017 - February 2019)","F",7,"420 km","226 Wh/km","2.572 kg","3,1 sec","413 km","95,0 kWh","100 kW","2.250 kg","unknown","€374 /km","€156,900","€160,220","£134,150","https://ev-database.org/car/1076/Tesla-Model-X-P100D","https://ev-database.org/img/auto/Tesla_Model_X/Tesla_Model_X-01-thumb.jpg"
337,"Citroen e-C3 Aircross","Available to order since June 2024","B",5,"250 km","176 Wh/km","1.504 kg","12,9 sec","260 km","44,0 kWh","60 kW","350 kg","460 L","€109 /km","€26,490","€27,390","* £24,500","https://ev-database.org/car/2224/Citroen-e-C3-Aircross","https://ev-database.org/img/auto/Citroen_e-C3_Aircross/Citroen_e-C3_Aircross-01-thumb.jpg"
338,"Skoda Enyaq iV 80x","Discontinued (June 2021 - October 2023)","C",5,"425 km","181 Wh/km","2.193 kg","6,9 sec","467 km","77,0 kWh","115 kW","1.200 kg","585 L","€126 /km","€49,050","€52,690","£50,805","https://ev-database.org/car/1281/Skoda-Enyaq-iV-80x","https://ev-database.org/img/auto/Skoda_Enyaq_iV_2020/Skoda_Enyaq_iV_2020-01-thumb.jpg"
339,"BMW i4 xDrive40","Available to order since June 2024","D",5,"490 km","166 Wh/km","2.260 kg","5,1 sec","558 km","81,3 kWh","131 kW","1.600 kg","470 L","€137 /km","€63,000","€65,899","* £63,000","https://ev-database.org/car/2200/BMW-i4-xDrive40","https://ev-database.org/img/auto/BMW_i4_2024/BMW_i4_2024-01-thumb.jpg"
340,"Citroen e-C4 X 54 kWh","Available to order since October 2024","C",5,"340 km","149 Wh/km","1.552 kg","10,1 sec","364 km","50,8 kWh","78 kW","0 kg","510 L","€107 /km","€34,800","€38,165","N/A","https://ev-database.org/car/3050/Citroen-e-C4-X-54-kWh","https://ev-database.org/img/auto/Citroen_e-C4_X_2024/Citroen_e-C4_X_2024-01-thumb.jpg"
341,"Volkswagen ID.3 1st","Discontinued (July 2020 - April 2021)","C",5,"350 km","166 Wh/km","1.794 kg","7,3 sec","375 km","58,0 kWh","82 kW","0 kg","385 L","€113 /km","€38,987","€37,990","£35,880","https://ev-database.org/car/1300/Volkswagen-ID3-1st","https://ev-database.org/img/auto/Volkswagen_ID3/Volkswagen_ID3-01-thumb.jpg"
342,"MG MG4 Electric XPOWER","Available to order since August 2023","C",5,"320 km","193 Wh/km","1.878 kg","3,8 sec","361 km","61,7 kWh","115 kW","500 kg","363 L","€137 /km","€46,990","€42,285","£36,495","https://ev-database.org/car/1944/MG-MG4-Electric-XPOWER","https://ev-database.org/img/auto/MG_MG4_Electric_XPOWER_2023/MG_MG4_Electric_XPOWER_2023-01-thumb.jpg"
343,"Audi A6 Avant e-tron quattro","Available to order since October 2024","E",5,"535 km","177 Wh/km","2.370 kg","4,5 sec","649 km","94,9 kWh","200 kW","2.100 kg","529 L","€152 /km","€81,450","€81,490","N/A","https://ev-database.org/car/3054/Audi-A6-Avant-e-tron-quattro","https://ev-database.org/img/auto/Audi_A6_Avant_etron_2024/Audi_A6_Avant_etron_2024-01-thumb.jpg"
344,"BMW i7 M70 xDrive","Available to order since May 2023","F",5,"490 km","208 Wh/km","2.770 kg","3,7 sec","534 km","101,7 kWh","159 kW","0 kg","500 L","€381 /km","€181,800","€189,877","£163,315","https://ev-database.org/car/1838/BMW-i7-M70-xDrive","https://ev-database.org/img/auto/BMW_i7_M70_2023/BMW_i7_M70_2023-01-thumb.jpg"
345,"Zeekr X Long Range RWD","Available to order since October 2023","B",5,"355 km","180 Wh/km","1.930 kg","5,6 sec","395 km","64,0 kWh","114 kW","1.600 kg","362 L","€126 /km","€45,970","€43,490","N/A","https://ev-database.org/car/1936/Zeekr-X-Long-Range-RWD","https://ev-database.org/img/auto/Zeekr_X_2023/Zeekr_X_2023-01-thumb.jpg"
346,"Renault Megane E-Tech EV60 130hp","Available to order since April 2022","C",5,"380 km","158 Wh/km","1.699 kg","10,5 sec","410 km","60,0 kWh","87 kW","500 kg","440 L","€111 /km","€47,000","€37,490","N/A","https://ev-database.org/car/1588/Renault-Megane-E-Tech-EV60-130hp","https://ev-database.org/img/auto/Renault_Megane_ETech/Renault_Megane_ETech-01-thumb.jpg"
347,"Volkswagen ID.7 GTX","Available to order since June 2024","E",5,"485 km","177 Wh/km","2.328 kg","5,4 sec","546 km","86,0 kWh","145 kW","1.200 kg","532 L","€139 /km","€63,155","€67,990","£61,980","https://ev-database.org/car/2216/Volkswagen-ID7-GTX","https://ev-database.org/img/auto/Volkswagen_ID7_GTX/Volkswagen_ID7_GTX-01-thumb.jpg"
348,"XPENG G9 RWD Standard Range","Available to order since February 2023","E",5,"395 km","192 Wh/km","2.310 kg","6,4 sec","473 km","75,8 kWh","170 kW","1.500 kg","731 L","€148 /km","€57,600","€59,188","N/A","https://ev-database.org/car/1824/XPENG-G9-RWD-Standard-Range","https://ev-database.org/img/auto/XPENG_G9/XPENG_G9-01-thumb.jpg"
349,"Lucid Air Touring","Available to order since May 2023","F",5,"580 km","159 Wh/km","2.150 kg","3,2 sec","669 km","92,0 kWh","160 kW","0 kg","739 L","€173 /km","€99,000","€102,000","N/A","https://ev-database.org/car/1317/Lucid-Air-Touring","https://ev-database.org/img/auto/Lucid_Air/Lucid_Air-01-thumb.jpg"
350,"Mercedes-Benz EQE SUV 350 4MATIC","Discontinued (December 2022 - January 2024)","E",5,"425 km","209 Wh/km","2.580 kg","6,6 sec","453 km","89,0 kWh","120 kW","1.800 kg","520 L","€230 /km","€89,548","€99,089","£90,560","https://ev-database.org/car/1761/Mercedes-Benz-EQE-SUV-350-4MATIC","https://ev-database.org/img/auto/Mercedes_EQE_SUV/Mercedes_EQE_SUV-01-thumb.jpg"
351,"Toyota PROACE Verso L 75 kWh","Available to order since May 2024","N",9,"260 km","262 Wh/km","2.240 kg","13,3 sec","246 km","68,0 kWh","79 kW","1.000 kg","989 L","€232 /km","€65,840","€61,560","£46,477","https://ev-database.org/car/2267/Toyota-PROACE-Verso-L-75-kWh","https://ev-database.org/img/auto/Toyota_PROACE_Verso_2024/Toyota_PROACE_Verso_2024-01-thumb.jpg"
352,"Renault 4 E-Tech 52kWh 150hp","Available to order since March 2025","B",5,"315 km","165 Wh/km","1.562 kg","8,2 sec","326 km","52,0 kWh","70 kW","750 kg","420 L","€105 /km","* €34,000","€32,990","* £28,000","https://ev-database.org/car/3127/Renault-4-E-Tech-52kWh-150hp","https://ev-database.org/img/auto/Renault_4_ETech/Renault_4_ETech-01-thumb.jpg"
353,"Jaguar I-Pace EV400","Discontinued (July 2020 - January 2023)","D",5,"380 km","223 Wh/km","2.208 kg","4,8 sec","360 km","84,7 kWh","85 kW","750 kg","505 L","€207 /km","€76,815","€83,077","£66,350","https://ev-database.org/car/1287/Jaguar-I-Pace-EV400","https://ev-database.org/img/auto/Jaguar_I-Pace-2021/Jaguar_I-Pace-2021-01-thumb.jpg"
354,"BMW iX M70 xDrive","Available to order since January 2025","E",5,"500 km","218 Wh/km","2.655 kg","3,8 sec","524 km","108,9 kWh","150 kW","2.500 kg","500 L","€258 /km","€124,900","€131,414","£114,205","https://ev-database.org/car/3111/BMW-iX-M70-xDrive","https://ev-database.org/img/auto/BMW_iX_M70_2025/BMW_iX_M70_2025-01-thumb.jpg"
355,"Kia EV9 99.8 kWh RWD","Available to order since June 2023","F",7,"450 km","213 Wh/km","2.501 kg","9,4 sec","502 km","96,0 kWh","194 kW","900 kg","423 L","€160 /km","€72,490","€68,795","£64,995","https://ev-database.org/car/1834/Kia-EV9-998-kWh-RWD","https://ev-database.org/img/auto/Kia_EV9_2023/Kia_EV9_2023-01-thumb.jpg"
356,"Volkswagen ID.4 Pure","Discontinued (February 2021 - November 2023)","C",5,"285 km","182 Wh/km","1.966 kg","10,9 sec","301 km","52,0 kWh","70 kW","1.000 kg","543 L","€146 /km","€36,950","€42,940","£38,845","https://ev-database.org/car/1489/Volkswagen-ID4-Pure","https://ev-database.org/img/auto/Volkswagen_ID4/Volkswagen_ID4-01-thumb.jpg"
357,"Tesla Model X 90D","Discontinued (October 2016 - June 2017)","F",7,"395 km","216 Wh/km","2.464 kg","5,0 sec","387 km","85,5 kWh","90 kW","unknown","unknown","€287 /km","€113,300","€113,285","N/A","https://ev-database.org/car/1053/Tesla-Model-X-90D","https://ev-database.org/img/auto/Tesla_Model_X/Tesla_Model_X-01-thumb.jpg"
358,"Ford Mustang Mach-E ER AWD","Discontinued (October 2023 - August 2024)","D",5,"440 km","207 Wh/km","2.257 kg","5,8 sec","447 km","91,0 kWh","115 kW","1.500 kg","422 L","€158 /km","€65,900","€66,940","£65,405","https://ev-database.org/car/2037/Ford-Mustang-Mach-E-ER-AWD","https://ev-database.org/img/auto/Ford_Mustang_Mach-E/Ford_Mustang_Mach-E-01-thumb.jpg"
359,"Audi Q4 e-tron 35","Available to order since July 2024","C",5,"285 km","182 Wh/km","1.990 kg","9,0 sec","324 km","52,0 kWh","90 kW","1.000 kg","520 L","€160 /km","€45,600","N/A","N/A","https://ev-database.org/car/2248/Audi-Q4-e-tron-35","https://ev-database.org/img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg"
360,"Skoda Enyaq Coupe 85x","Available to order since January 2025","C",5,"465 km","166 Wh/km","2.234 kg","6,7 sec","517 km","77,0 kWh","120 kW","1.200 kg","570 L","€120 /km","€53,400","N/A","£50,660","https://ev-database.org/car/3101/Skoda-Enyaq-Coupe-85x","https://ev-database.org/img/auto/Skoda_Enyaq_Coupe_2025/Skoda_Enyaq_Coupe_2025-01-thumb.jpg"
361,"Kia e-Niro 64 kWh","Discontinued (December 2018 - July 2020)","C",5,"375 km","171 Wh/km","1.812 kg","7,8 sec","349 km","64,0 kWh","64 kW","0 kg","451 L","€106 /km","€39,090","€42,510","£32,995","https://ev-database.org/car/1125/Kia-e-Niro-64-kWh","https://ev-database.org/img/auto/Kia_e-Niro/Kia_e-Niro-01-thumb.jpg"
362,"Ford Explorer Extended Range AWD","Available to order since March 2024","C",5,"430 km","184 Wh/km","2.267 kg","5,3 sec","479 km","79,0 kWh","135 kW","1.200 kg","536 L","€131 /km","€52,430","€53,950","£53,975","https://ev-database.org/car/2169/Ford-Explorer-Extended-Range-AWD","https://ev-database.org/img/auto/Ford_Explorer_2024/Ford_Explorer_2024-01-thumb.jpg"
363,"Mini Cooper SE","Discontinued (January 2020 - March 2021)","B",4,"180 km","161 Wh/km","1.440 kg","7,3 sec","183 km","28,9 kWh","44 kW","0 kg","211 L","€179 /km","€32,500","€35,170","£25,100","https://ev-database.org/car/1163/Mini-Cooper-SE","https://ev-database.org/img/auto/Mini_Electric/Mini_Electric-01-thumb.jpg"
364,"Polestar 3 Long Range Performance","Available to order since November 2022","E",5,"470 km","228 Wh/km","2.660 kg","4,7 sec","506 km","107,0 kWh","150 kW","2.200 kg","516 L","€198 /km","€92,190","€93,550","£81,500","https://ev-database.org/car/1759/Polestar-3-Long-Range-Performance","https://ev-database.org/img/auto/Polestar_3/Polestar_3-01-thumb.jpg"
365,"Smart #3 Brabus","Available to order since January 2024","B",5,"335 km","185 Wh/km","1.985 kg","3,7 sec","372 km","62,0 kWh","100 kW","1.600 kg","385 L","€153 /km","€50,990","€50,895","£45,450","https://ev-database.org/car/2000/Smart-3-Brabus","https://ev-database.org/img/auto/Smart_3_Brabus_2024/Smart_3_Brabus_2024-01-thumb.jpg"
366,"Mercedes-Benz EQS SUV Maybach 680","Available to order since January 2024","F",4,"490 km","241 Wh/km","3.075 kg","4,4 sec","507 km","118,0 kWh","160 kW","1.800 kg","440 L","€441 /km","€200,634","€216,780","£200,860","https://ev-database.org/car/2086/Mercedes-Benz-EQS-SUV-Maybach-680","https://ev-database.org/img/auto/Mercedes_Maybach_EQS_SUV_2024/Mercedes_Maybach_EQS_SUV_2024-01-thumb.jpg"
367,"Mercedes-Benz EQS SUV 580 4MATIC","Available to order since October 2023","F",7,"530 km","223 Wh/km","2.845 kg","4,7 sec","543 km","118,0 kWh","160 kW","1.800 kg","645 L","€303 /km","€147,923","€173,825","£139,470","https://ev-database.org/car/2090/Mercedes-Benz-EQS-SUV-580-4MATIC","https://ev-database.org/img/auto/Mercedes_EQS_SUV_2022/Mercedes_EQS_SUV_2022-01-thumb.jpg"
368,"Audi A6 Avant e-tron","Available to order since October 2024","E",5,"475 km","160 Wh/km","2.185 kg","6,0 sec","570 km","75,8 kWh","150 kW","2.100 kg","529 L","€137 /km","€64,450","€65,490","N/A","https://ev-database.org/car/3055/Audi-A6-Avant-e-tron","https://ev-database.org/img/auto/Audi_A6_Avant_etron_2024/Audi_A6_Avant_etron_2024-01-thumb.jpg"
369,"Renault Scenic E-Tech EV60 170hp","Available to order since December 2023","C",5,"340 km","176 Wh/km","1.822 kg","8,6 sec","354 km","60,0 kWh","75 kW","1.100 kg","545 L","€124 /km","€41,400","€42,470","£37,495","https://ev-database.org/car/2068/Renault-Scenic-E-Tech-EV60-170hp","https://ev-database.org/img/auto/Renault_Scenic_ETech/Renault_Scenic_ETech-01-thumb.jpg"
370,"Audi Q4 e-tron 35","Discontinued (June 2021 - September 2023)","C",5,"285 km","182 Wh/km","1.965 kg","9,0 sec","301 km","52,0 kWh","70 kW","0 kg","520 L","€173 /km","€44,700","€52,105","£44,690","https://ev-database.org/car/1179/Audi-Q4-e-tron-35","https://ev-database.org/img/auto/Audi_Q4_e-tron_2021/Audi_Q4_e-tron_2021-01-thumb.jpg"
371,"Renault Kangoo E-Tech Electric","Available to order since December 2022","N",5,"225 km","200 Wh/km","1.871 kg","12,6 sec","221 km","45,0 kWh","50 kW","1.500 kg","950 L","€159 /km","€35,850","N/A","N/A","https://ev-database.org/car/1802/Renault-Kangoo-E-Tech-Electric","https://ev-database.org/img/auto/Renault_Kangoo_E-Tech_Electric/Renault_Kangoo_E-Tech_Electric-01-thumb.jpg"
372,"Audi Q6 e-tron","Available to order since August 2024","D",5,"395 km","192 Wh/km","2.200 kg","7,0 sec","459 km","75,8 kWh","150 kW","2.000 kg","590 L","€167 /km","€63,500","€65,950","£59,975","https://ev-database.org/car/2281/Audi-Q6-e-tron","https://ev-database.org/img/auto/Audi_Q6_etron_2024/Audi_Q6_etron_2024-01-thumb.jpg"
373,"Hyundai IONIQ 5 Long Range AWD","Discontinued (July 2021 - June 2022)","C",5,"365 km","192 Wh/km","2.095 kg","5,2 sec","452 km","70,0 kWh","185 kW","1.600 kg","555 L","€143 /km","€49,900","€54,500","£45,145","https://ev-database.org/car/1479/Hyundai-IONIQ-5-Long-Range-AWD","https://ev-database.org/img/auto/Hyundai_IONIQ5_2021/Hyundai_IONIQ5_2021-01-thumb.jpg"
374,"Volkswagen ID.4 1st","Discontinued (October 2020 - August 2021)","C",5,"410 km","188 Wh/km","2.124 kg","8,5 sec","436 km","77,0 kWh","125 kW","1.000 kg","543 L","€116 /km","€48,691","€47,355","£40,800","https://ev-database.org/car/1273/Volkswagen-ID4-1st","https://ev-database.org/img/auto/Volkswagen_ID4/Volkswagen_ID4-01-thumb.jpg"
375,"Audi e-tron GT S","Available to order since June 2024","F",4,"540 km","180 Wh/km","2.385 kg","3,4 sec","678 km","97,0 kWh","240 kW","0 kg","482 L","€234 /km","€126,000","€129,990","£107,730","https://ev-database.org/car/2219/Audi-e-tron-GT-S","https://ev-database.org/img/auto/Audi_e-tron_GT_S_2025/Audi_e-tron_GT_S_2025-01-thumb.jpg"
376,"Polestar 2 Long Range Dual Motor","Available to order since June 2024","D",5,"455 km","174 Wh/km","2.175 kg","4,5 sec","514 km","79,0 kWh","125 kW","1.500 kg","448 L","€127 /km","€56,990","€55,200","£52,950","https://ev-database.org/car/2227/Polestar-2-Long-Range-Dual-Motor","https://ev-database.org/img/auto/Polestar_2_2024/Polestar_2_2024-01-thumb.jpg"
377,"Volkswagen ID.4 GTX","Discontinued (July 2022 - November 2023)","C",5,"400 km","193 Wh/km","2.239 kg","6,3 sec","434 km","77,0 kWh","115 kW","1.200 kg","543 L","€147 /km","€53,255","€61,790","£52,865","https://ev-database.org/car/1828/Volkswagen-ID4-GTX","https://ev-database.org/img/auto/Volkswagen_ID4_GTX_2023/Volkswagen_ID4_GTX_2023-01-thumb.jpg"
378,"Tesla Model S 70D","Discontinued (April 2015 - April 2016)","F",5,"350 km","190 Wh/km","2.156 kg","5,4 sec","369 km","66,5 kWh","95 kW","unknown","895 L","€240 /km","€83,500","€84,800","N/A","https://ev-database.org/car/1033/Tesla-Model-S-70D","https://ev-database.org/img/auto/Tesla_Model_S/Tesla_Model_S-01-thumb.jpg"
379,"Nissan Leaf e+","Available to order since March 2022","C",5,"340 km","174 Wh/km","1.756 kg","6,9 sec","291 km","59,0 kWh","44 kW","0 kg","420 L","€121 /km","€41,100","€41,890","£34,945","https://ev-database.org/car/1657/Nissan-Leaf-eplus","https://ev-database.org/img/auto/Nissan_Leaf_2022/Nissan_Leaf_2022-01-thumb.jpg"
380,"Lexus RZ 300e","Available to order since April 2023","C",5,"365 km","175 Wh/km","2.030 kg","8,0 sec","401 km","64,0 kWh","100 kW","750 kg","522 L","€152 /km","€54,890","€54,495","£49,995","https://ev-database.org/car/3027/Lexus-RZ-300e","https://ev-database.org/img/auto/Lexus_RZ_450e/Lexus_RZ_450e-01-thumb.jpg"
381,"Mercedes-Benz EQB 350 4MATIC","Available to order since October 2023","C",7,"345 km","193 Wh/km","2.165 kg","6,2 sec","357 km","66,5 kWh","100 kW","1.700 kg","495 L","€187 /km","€58,197","€69,728","£56,810","https://ev-database.org/car/1990/Mercedes-Benz-EQB-350-4MATIC","https://ev-database.org/img/auto/Mercedes_EQB_2024/Mercedes_EQB_2024-01-thumb.jpg"
382,"Mini Cooper E","Available to order since December 2023","B",4,"250 km","146 Wh/km","1.615 kg","7,3 sec","267 km","36,6 kWh","60 kW","0 kg","200 L","€138 /km","€32,900","€35,990","£30,000","https://ev-database.org/car/1997/Mini-Cooper-E","https://ev-database.org/img/auto/Mini_Cooper_Electric_2024/Mini_Cooper_Electric_2024-01-thumb.jpg"
383,"Mini Aceman SE","Available to order since June 2024","B",5,"290 km","170 Wh/km","1.785 kg","7,1 sec","308 km","49,2 kWh","75 kW","750 kg","300 L","€141 /km","€39,550","€40,990","£36,300","https://ev-database.org/car/2191/Mini-Aceman-SE","https://ev-database.org/img/auto/Mini_Aceman_Electric_2024/Mini_Aceman_Electric_2024-01-thumb.jpg"
